Fasta headers	Hippo 42	Hippo 42	Hippo 42	Hippo 45	Hippo 45	Hippo 45	Hippo CH	Hippo CH	Hippo CH	Hippo W3
sp|Q9CR24|NUDT8_MOUSE Nucleoside diphosphate-linked moiety X motif 8 OS=Mus musculus GN=Nudt8 PE=1 SV=1;tr|D3Z5H8|D3Z5H8_MOUSE Nucleoside diphosphate-linked moiety X motif 8 OS=Mus musculus GN=Nudt8 PE=1 SV=1	2443.7	2241.7	2386.4	2707	2515.2	2184.3	2398.9	2717	2330.1	2098.1
sp|E9Q9D5|RBL2A_MOUSE Rab-like protein 2A OS=Mus musculus GN=Rabl2 PE=1 SV=1;sp|E9Q9D5-1|RBL2A_MOUSE Isoform 1 of Rab-like protein 2A OS=Mus musculus GN=Rabl2;tr|F6Y6I9|F6Y6I9_MOUSE Rab-like protein 2A (Fragment) OS=Mus musculus GN=Rabl2 PE=1 SV=1;tr|E9Q0F	2144.2	2271.7	2814.9	2734.8	2630	1963.4	1328	3555.8	2399.7	1400.7
tr|E0CZ73|E0CZ73_MOUSE Occludin OS=Mus musculus GN=Ocln PE=1 SV=1;tr|Q3UKZ5|Q3UKZ5_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Ocln PE=2 SV=1;tr|B2RS24|B2RS24_MOUSE Occludin OS=Mus musculus GN=Ocln PE=1 SV=1;sp|Q61146|OCLN_MOUSE Oc	1857.1	1756.3	1773.6	2603.3	2625.5	2094	2097.9	2707.2	2325	2840.3
tr|D3Z585|D3Z585_MOUSE Guanine nucleotide exchange factor for Rab-3A OS=Mus musculus GN=Rab3il1 PE=1 SV=1;sp|Q8VDV3-2|R3GEF_MOUSE Isoform 2 of Guanine nucleotide exchange factor for Rab-3A OS=Mus musculus GN=Rab3il1;sp|Q8VDV3|R3GEF_MOUSE Guanine nucleotide	2152.8	2838.1	2346.9	1923.7	2756.7	2623.7	2280.7	2686.3	2029.6	8628.9
sp|Q8BUR3-2|FOXJ3_MOUSE Isoform 2 of Forkhead box protein J3 OS=Mus musculus GN=Foxj3;sp|Q8BUR3|FOXJ3_MOUSE Forkhead box protein J3 OS=Mus musculus GN=Foxj3 PE=1 SV=1;tr|Q3UZU3|Q3UZU3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Foxj3 PE=2 SV=	2592	1631	1803	2648.9	2475.9	2160.1	2441.9	2393.5	2434.3	1719.1
sp|Q8BGK5|S35F1_MOUSE Solute carrier family 35 member F1 OS=Mus musculus GN=Slc35f1 PE=1 SV=1	2042.7	2535.3	3086	3362.4	1961.3	1934.1	2974.3	3298.5	2594.4	1174.5
tr|F7BWP1|F7BWP1_MOUSE Anamorsin (Fragment) OS=Mus musculus GN=Ciapin1 PE=1 SV=2	1699.1	1771.6	2473.1	2542.2	3311.7	1396.8	3139.3	1565.5	1832.9	1571.9
tr|A0A0R4J012|A0A0R4J012_MOUSE Protein FAM84A OS=Mus musculus GN=Fam84a PE=1 SV=1;sp|Q9D650|FA84A_MOUSE Protein FAM84A OS=Mus musculus GN=Fam84a PE=2 SV=1	2390.6	3289.1	2428	2606.2	2364.9	2231.2	2820.1	3396.4	2922.8	2278.3
sp|Q9D824-3|FIP1_MOUSE Isoform 3 of Pre-mRNA 3-end-processing factor FIP1 OS=Mus musculus GN=Fip1l1;sp|Q9D824-2|FIP1_MOUSE Isoform 2 of Pre-mRNA 3-end-processing factor FIP1 OS=Mus musculus GN=Fip1l1;sp|Q9D824|FIP1_MOUSE Pre-mRNA 3-end-processing factor	2502.1	2697.4	1788.9	2427.1	3131.2	1605.6	2217.8	1525.1	1716.9	2129.8
sp|Q80Z10-3|ASTN2_MOUSE Isoform 3 of Astrotactin-2 OS=Mus musculus GN=Astn2;sp|Q80Z10-2|ASTN2_MOUSE Isoform 2 of Astrotactin-2 OS=Mus musculus GN=Astn2;sp|Q80Z10|ASTN2_MOUSE Astrotactin-2 OS=Mus musculus GN=Astn2 PE=1 SV=2;tr|Q8BRX1|Q8BRX1_MOUSE Putative u	2663.4	2298.1	2162.4	2196.3	2771.5	2075.6	1472	2266.9	2299.4	1474
tr|A1E285|A1E285_MOUSE Succinyl-CoA:3-ketoacid CoA transferase (Fragment) OS=Mus musculus GN=Oxct1 PE=2 SV=1	2365.6	1576.2	2372.8	2528.8	2708.3	1637.9	2249.2	2206.3	2028.6	680.69
tr|V9GWW6|V9GWW6_MOUSE Muscular LMNA-interacting protein OS=Mus musculus GN=Mlip PE=1 SV=1	2335.6	2455.6	2369.2	2216.5	2595.5	2045.7	2373.6	2780.1	2269.8	1318.9
tr|E0CYD7|E0CYD7_MOUSE Putative E3 ubiquitin-protein ligase UNKL OS=Mus musculus GN=Unkl PE=1 SV=1;sp|Q5FWH2|UNKL_MOUSE Putative E3 ubiquitin-protein ligase UNKL OS=Mus musculus GN=Unkl PE=2 SV=2	2045.1	2062.9	1812.6	2543.8	2478.4	1832.5	1914.8	2594.9	2515.6	2253.5
sp|Q9D2Q3|CJ088_MOUSE Uncharacterized protein C10orf88 homolog OS=Mus musculus PE=2 SV=1;tr|A0A140LJK0|A0A140LJK0_MOUSE RIKEN cDNA 2310057M21 gene (Fragment) OS=Mus musculus GN=2310057M21Rik PE=1 SV=1;tr|A0A140LJB8|A0A140LJB8_MOUSE RIKEN cDNA 2310057M21 ge	2164.9	1927	2039.7	2210.4	2199.5	2415	1028	1723.6	1686.5	1250.3
"tr|A0A0R4J1J3|A0A0R4J1J3_MOUSE Lactosylceramide alpha-2,3-sialyltransferase OS=Mus musculus GN=St3gal5 PE=1 SV=1;sp|O88829-2|SIAT9_MOUSE Isoform 2 of Lactosylceramide alpha-2,3-sialyltransferase OS=Mus musculus GN=St3gal5;sp|O88829|SIAT9_MOUSE Lactosylcera"	2096.1	1802.5	2604	2644.6	2144.6	1992.2	1569.1	2103.4	1954.2	810.35
tr|Q3TG92|Q3TG92_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Actc1 PE=2 SV=1	2972.8	2619.2	2454.1	2112.3	2360.1	2166	1374.7	1525.4	2091.6	915.05
tr|Q3UK41|Q3UK41_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Nelfa PE=2 SV=1;sp|Q8BG30|NELFA_MOUSE Negative elongation factor A OS=Mus musculus GN=Nelfa PE=1 SV=1	2229.6	1697.3	1861	2349	2358.9	1784.9	1703.8	2145.7	1616	981.38
tr|Q3TAH3|Q3TAH3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Npm3 PE=2 SV=1;sp|Q9CPP0|NPM3_MOUSE Nucleoplasmin-3 OS=Mus musculus GN=Npm3 PE=1 SV=3	1847.3	1991	2102.3	2551.1	2063.1	1783.2	1402.9	1958.9	1636.5	1595.2
tr|H3BK17|H3BK17_MOUSE Dysbindin domain-containing protein 1 OS=Mus musculus GN=Dbndd1 PE=1 SV=1;tr|H3BKU0|H3BKU0_MOUSE Dysbindin domain-containing protein 1 OS=Mus musculus GN=Dbndd1 PE=1 SV=1;sp|Q9CZ00-2|DBND1_MOUSE Isoform 2 of Dysbindin domain-containi	1881.8	1608.1	1256.1	2196.7	2361.2	1821.3	1712.5	1486.4	1669.2	1610.7
"tr|Q80TY2|Q80TY2_MOUSE MKIAA0549 protein (Fragment) OS=Mus musculus GN=Trak2 PE=2 SV=1;tr|G3UYW9|G3UYW9_MOUSE Trafficking protein, kinesin-binding 2 OS=Mus musculus GN=Trak2 PE=1 SV=1;tr|Q8BZ57|Q8BZ57_MOUSE Putative uncharacterized protein OS=Mus musculus "	1415.7	1732	1063.4	2660.9	2466.7	1228.6	1477	1285.4	1912	8437.3
tr|Q148A8|Q148A8_MOUSE Ring finger and FYVE like domain containing protein OS=Mus musculus GN=Rffl PE=2 SV=1;tr|Q3TEV8|Q3TEV8_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Rffl PE=2 SV=1;tr|Q3UD78|Q3UD78_MOUSE Putative uncharacterized protein O	2011.9	1493.9	1948.1	2554.6	2258.4	1490.6	1499.3	1767.2	1986.6	1444.8
"tr|Q91XX3|Q91XX3_MOUSE MCG133388, isoform CRA_y OS=Mus musculus GN=Pcdhgb7 PE=1 SV=1;tr|Q6NXY6|Q6NXY6_MOUSE Pcdhgb7 protein OS=Mus musculus GN=Pcdhgb7 PE=2 SV=1;tr|Q4KMS2|Q4KMS2_MOUSE Pcdhgb1 protein OS=Mus musculus GN=Pcdhgb1 PE=2 SV=1;tr|Q91XX8|Q91XX8_MO"	2301.5	2081.2	2077.8	1809.6	1821.5	2560.8	2041.6	2079.9	2357.3	1269.6
tr|E9Q390|E9Q390_MOUSE Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2;tr|B9EK95|B9EK95_MOUSE Myof protein OS=Mus musculus GN=Myof PE=2 SV=1;sp|Q69ZN7-4|MYOF_MOUSE Isoform 4 of Myoferlin OS=Mus musculus GN=Myof;sp|Q69ZN7|MYOF_MOUSE Myoferlin OS=Mus musculus GN	1831.1	2372.8	2168.4	2284.6	2415.8	1478.6	1937.6	2430.7	1623	231.73
tr|Q3UGU8|Q3UGU8_MOUSE Histone acetyltransferase OS=Mus musculus GN=Kat7 PE=2 SV=1;tr|Q3TD41|Q3TD41_MOUSE Histone acetyltransferase OS=Mus musculus GN=Kat7 PE=2 SV=1;tr|Q3UGF2|Q3UGF2_MOUSE Histone acetyltransferase (Fragment) OS=Mus musculus GN=Kat7 PE=2 S	1771.2	2426.7	1620.5	2032	2073.4	2037.9	1498.3	2107.6	2528.7	6090.7
sp|P51949|MAT1_MOUSE CDK-activating kinase assembly factor MAT1 OS=Mus musculus GN=Mnat1 PE=1 SV=2;tr|A0A087WSG5|A0A087WSG5_MOUSE CDK-activating kinase assembly factor MAT1 OS=Mus musculus GN=Mnat1 PE=1 SV=1;tr|A4FUR7|A4FUR7_MOUSE Mnat1 protein (Fragment) 	1013.1	1524.2	1610.8	2174.7	2162.1	1789.2	871.62	1570.4	1600.7	1156.4
tr|A0A140LHJ4|A0A140LHJ4_MOUSE Syntaxin-binding protein 1 (Fragment) OS=Mus musculus GN=Stxbp1 PE=1 SV=2	1138.8	2159.4	2828.3	2275.4	2500.2	1313	2099.5	1659.7	1874.3	952.01
"tr|Q3TYL9|Q3TYL9_MOUSE 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Mus musculus GN=Cnp PE=2 SV=1;sp|P16330-2|CN37_MOUSE Isoform CNPI of 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Mus musculus GN=Cnp"	1889.4	1871	1370.4	2225.9	2195.5	1580.1	983.48	2953.8	2522.5	57118
sp|Q91ZC7|MRGA5_MOUSE Mas-related G-protein coupled receptor member A5 OS=Mus musculus GN=Mrgpra5 PE=2 SV=2	11807	2161.3	2034.4	1934.3	1847.4	2142.1	948.6	2349.2	1785.6	322.56
tr|Q9CRX2|Q9CRX2_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Laptm4a PE=2 SV=2;tr|Q8BG66|Q8BG66_MOUSE Laptm4a protein OS=Mus musculus GN=Laptm4a PE=2 SV=1;tr|E9QLR3|E9QLR3_MOUSE Lysosomal-associated transmembrane protein 4A OS=Mus musculus GN	1728.8	2260.5	1475.9	2630.7	1657.9	1633.5	1583.3	2099.3	1379.3	1018.5
tr|Q2NL54|Q2NL54_MOUSE Uncharacterized protein OS=Mus musculus GN=Mrgbp PE=2 SV=1;sp|Q9DAT2|MRGBP_MOUSE MRG/MORF4L-binding protein OS=Mus musculus GN=Mrgbp PE=1 SV=2;sp|Q9DAT2-2|MRGBP_MOUSE Isoform 2 of MRG/MORF4L-binding protein OS=Mus musculus GN=Mrgbp	1882.7	2175.6	1987.7	1990	1995.1	1792	1910.2	1578.1	2215	1332.5
sp|Q499E0|BRNP3_MOUSE BMP/retinoic acid-inducible neural-specific protein 3 OS=Mus musculus GN=Brinp3 PE=2 SV=2	2911.6	1420.8	1777.4	1722.7	2144.3	1893.1	1709.1	2883.1	2016.7	1629.8
"sp|Q8K2A8|ALG3_MOUSE Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase OS=Mus musculus GN=Alg3 PE=1 SV=2"	1965.5	1423.8	2095.3	1651.3	2124.1	1982.3	2066.7	2615.3	1870.2	1240.4
"tr|E9PWM3|E9PWM3_MOUSE Armadillo repeat-containing, X-linked 4 OS=Mus musculus GN=Armcx4 PE=1 SV=1;tr|A2VCS7|A2VCS7_MOUSE Armcx4 protein (Fragment) OS=Mus musculus GN=Armcx4 PE=2 SV=1"	1601.7	1557.8	1847.4	2167.4	1914.2	1609.4	1457	2207.4	1621.2	0
"tr|Q8C894|Q8C894_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Lipt1 PE=2 SV=1;sp|Q8VCM4|LIPT_MOUSE Lipoyltransferase 1, mitochondrial OS=Mus musculus GN=Lipt1 PE=1 SV=1"	1838.8	1438.9	2190.8	1759.9	2149.2	1769.5	1780	2224.7	1929.1	1828.4
tr|Q3UDC5|Q3UDC5_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Icam1 PE=2 SV=1;tr|Q3TB10|Q3TB10_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Icam1 PE=2 SV=1;tr|Q922B3|Q922B3_MOUSE Icam1 protein OS=Mus musculus	1080.7	1446.3	1718.2	1569.6	2352.2	1737.9	1705.7	1677.6	1544.3	729.26
tr|A2BGN7|A2BGN7_MOUSE Protein MANBAL OS=Mus musculus GN=Manbal PE=1 SV=1;sp|Q9D8X0|MANBL_MOUSE Protein MANBAL OS=Mus musculus GN=Manbal PE=3 SV=2	1749.8	1909.5	1903.5	2104.6	1706.2	1829	2478.6	1938.2	1527.9	1557.2
tr|Q3U0U3|Q3U0U3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Mad2l1bp PE=2 SV=1;tr|Q5DU48|Q5DU48_MOUSE MKIAA0110 protein (Fragment) OS=Mus musculus GN=Mad2l1bp PE=2 SV=1;sp|Q9DCX1|MD2BP_MOUSE MAD2L1-binding protein OS=Mus musculus GN=Mad2l1bp	1934.9	1138.4	1875.9	2148.3	2199	1227.9	1573.5	1620.6	1510.3	950.32
tr|A0A0R4J063|A0A0R4J063_MOUSE Fibroblast growth factor OS=Mus musculus GN=Fgf14 PE=3 SV=1;sp|P70379|FGF14_MOUSE Fibroblast growth factor 14 OS=Mus musculus GN=Fgf14 PE=2 SV=1;tr|O89096|O89096_MOUSE Fibroblast growth factor OS=Mus musculus GN=Fgf14 PE=2 SV	1346	1856.6	1643.5	2245.5	1509.9	1762.2	923.92	1804.1	1816	788.16
tr|E9Q0C3|E9Q0C3_MOUSE Heat shock protein HSP 90-beta (Fragment) OS=Mus musculus GN=Hsp90ab1 PE=1 SV=1	1714.3	1845.3	1054.6	1823.8	2306.4	1321.4	1246.3	1610	1735.9	3746.4
sp|Q3TYS2|CQ062_MOUSE Uncharacterized protein C17orf62 homolog OS=Mus musculus PE=1 SV=2	1882.4	1665	2285.7	1880.3	2123.5	1433.5	1146.3	2024	1699.7	591.66
tr|E9Q6U0|E9Q6U0_MOUSE Voltage-dependent calcium channel beta subunit-associated regulatory protein OS=Mus musculus GN=Cbarp PE=4 SV=1	1412.2	1215.4	1872.8	1954.4	1492.7	1959.7	2090.5	1428.3	1966.6	1004.5
"tr|Q3TYM7|Q3TYM7_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Pphln1 PE=2 SV=1;tr|G3UWD4|G3UWD4_MOUSE Periphilin 1, isoform CRA_b OS=Mus musculus GN=Pphln1 PE=1 SV=1;tr|Q3UBL8|Q3UBL8_MOUSE Periphilin 1, isoform CRA_d OS=Mus musculus GN=Pphln1 "	1566.4	1454.5	1466.4	1956.9	1955.5	1491.8	1816.5	1760.7	1912.2	4080.5
sp|Q3UYK3|TBCD9_MOUSE TBC1 domain family member 9 OS=Mus musculus GN=Tbc1d9 PE=2 SV=2;tr|Q6PGG9|Q6PGG9_MOUSE Tbc1d9 protein OS=Mus musculus GN=Tbc1d9 PE=2 SV=1;sp|Q3UYK3-2|TBCD9_MOUSE Isoform 2 of TBC1 domain family member 9 OS=Mus musculus GN=Tbc1d9	1623.8	1627	2059.6	1682.7	1991.9	1559.3	1341.7	2109.8	2223.7	1020.8
"tr|Q91XX4|Q91XX4_MOUSE MCG133388, isoform CRA_n OS=Mus musculus GN=Pcdhgb6 PE=1 SV=1"	823.33	1456.8	1429.3	1587.1	1945.8	1597.5	1228.6	1389.8	1204.9	797.37
sp|Q8K387-2|UBP45_MOUSE Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 45 OS=Mus musculus GN=Usp45;sp|Q8K387|UBP45_MOUSE Ubiquitin carboxyl-terminal hydrolase 45 OS=Mus musculus GN=Usp45 PE=1 SV=1;tr|F7BAC1|F7BAC1_MOUSE Ubiquitin carboxyl-terminal hydr	1648.8	1156.4	1869.3	1492.1	1915.9	1558.9	1100	1271.3	2106.2	4117.8
tr|F7CWA0|F7CWA0_MOUSE GPN-loop GTPase 3 (Fragment) OS=Mus musculus GN=Gpn3 PE=1 SV=1;sp|Q9D3W4|GPN3_MOUSE GPN-loop GTPase 3 OS=Mus musculus GN=Gpn3 PE=2 SV=1	1889.6	1184.4	1348.8	1548.9	1863	1286.8	1470.5	1483.2	1668.8	1675.1
tr|A0A0G2JEG3|A0A0G2JEG3_MOUSE Solute carrier family 35 member F6 OS=Mus musculus GN=Slc35f6 PE=1 SV=1;sp|Q8VE96|S35F6_MOUSE Solute carrier family 35 member F6 OS=Mus musculus GN=Slc35f6 PE=1 SV=1;tr|Q8BK02|Q8BK02_MOUSE Putative uncharacterized protein OS=	1623.7	1340.7	1562.6	1428.6	1842	1316.8	1173.8	1198.7	1131.2	752.97
"sp|Q91WK5|GCSH_MOUSE Glycine cleavage system H protein, mitochondrial OS=Mus musculus GN=Gcsh PE=1 SV=2"	1094	1098.1	2001.8	1593.4	1635.1	1333	1802.8	1177.5	1486.2	411.81
tr|E9Q5M4|E9Q5M4_MOUSE Zinc finger RNA-binding protein 2 OS=Mus musculus GN=Zfr2 PE=1 SV=1;tr|Q80TK6|Q80TK6_MOUSE MKIAA1086 protein (Fragment) OS=Mus musculus GN=mKIAA1086 PE=4 SV=3	1415.4	1365.1	1165.5	1630	1662.3	1081.9	845.93	1363.7	859.45	1286.7
sp|Q8CJ40-2|CROCC_MOUSE Isoform 2 of Rootletin OS=Mus musculus GN=Crocc	730.67	1131.1	1751.7	1666.9	1405.5	1244.3	402.56	1586.1	1715.8	1933.4
tr|E9Q150|E9Q150_MOUSE Segment polarity protein dishevelled homolog DVL-3 OS=Mus musculus GN=Dvl3 PE=1 SV=1;tr|E9Q967|E9Q967_MOUSE Segment polarity protein dishevelled homolog DVL-3 OS=Mus musculus GN=Dvl3 PE=1 SV=1;sp|Q61062|DVL3_MOUSE Segment polarity pr	1390.4	1557	1328.7	1781.9	1278.9	1237.9	795.72	1580.7	1264.7	861.64
tr|E9Q5B5|E9Q5B5_MOUSE Hexokinase-2 OS=Mus musculus GN=Hk2 PE=1 SV=1;sp|O08528|HXK2_MOUSE Hexokinase-2 OS=Mus musculus GN=Hk2 PE=1 SV=1	1538.9	1400.7	1283.1	1386.8	1899.9	1004.2	815.19	942.51	1270.6	427.51
tr|Q5SQ20|Q5SQ20_MOUSE Pescadillo homolog OS=Mus musculus GN=Pes1 PE=1 SV=1;sp|Q9EQ61|PESC_MOUSE Pescadillo homolog OS=Mus musculus GN=Pes1 PE=1 SV=1	2109.8	2589.8	1415.6	1007.4	1373.1	1847	1500.5	1927.3	1934.8	1192.5
tr|S4R1S2|S4R1S2_MOUSE Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1;sp|G5E8K5-2|ANK3_MOUSE Isoform 2 of Ankyrin-3 OS=Mus musculus GN=Ank3	1637.1	1544.9	1472.7	1434.5	1540.6	1086.6	1106.5	1744.4	1714.7	0
sp|Q6PCP5-4|MFF_MOUSE Isoform 4 of Mitochondrial fission factor OS=Mus musculus GN=Mff	1659.6	1058.8	1874.5	1334.1	1407.2	1291.8	1424.2	1550.5	992.21	601.77
sp|Q7TMB8-2|CYFP1_MOUSE Isoform 2 of Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1;tr|A0A0R4J119|A0A0R4J119_MOUSE Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1 PE=1 SV=1	2065.1	1613	1496.6	1257.6	1054.1	1642.8	799.96	1628.5	1085.9	2554.2
tr|D3Z1T4|D3Z1T4_MOUSE Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (Fragment) OS=Mus musculus GN=Gnb2 PE=1 SV=1	858.68	564.39	0	670.36	1720.4	1554.5	409.02	1120.2	956.15	463.27
tr|Q3TCN5|Q3TCN5_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Gorasp1 PE=1 SV=1;sp|Q91X51|GORS1_MOUSE Golgi reassembly-stacking protein 1 OS=Mus musculus GN=Gorasp1 PE=1 SV=3	1991.3	2012.4	1696.2	1596.9	1359.2	956.86	1180.1	1807.3	1982	756.2
sp|Q501J7-2|PHAR4_MOUSE Isoform 2 of Phosphatase and actin regulator 4 OS=Mus musculus GN=Phactr4;sp|Q501J7|PHAR4_MOUSE Phosphatase and actin regulator 4 OS=Mus musculus GN=Phactr4 PE=1 SV=2;sp|Q501J7-3|PHAR4_MOUSE Isoform 3 of Phosphatase and actin regula	1971.2	750.38	1347.3	1354.3	1274.6	1256.7	1612.9	1034.6	1302.5	691.92
sp|Q8VE08|FBX33_MOUSE F-box only protein 33 OS=Mus musculus GN=Fbxo33 PE=1 SV=3	1334.1	1301.7	1363.8	1198.4	1465.6	1108.9	1050.3	1533.2	1288.5	888.39
tr|Q3UG63|Q3UG63_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ascc2 PE=2 SV=1;sp|Q91WR3-2|ASCC2_MOUSE Isoform 2 of Activating signal cointegrator 1 complex subunit 2 OS=Mus musculus GN=Ascc2;sp|Q91WR3|ASCC2_MOUSE Activating signal cointegrator	1213.8	1394.3	1145.3	1387.6	1491.5	876.65	969.54	1353.9	784.16	706.11
tr|Q3U699|Q3U699_MOUSE Putative uncharacterized protein OS=Mus musculus GN=1810043G02Rik PE=1 SV=1;tr|Q9D127|Q9D127_MOUSE Putative uncharacterized protein OS=Mus musculus GN=1810043G02Rik PE=2 SV=1;sp|Q8C6G1|CU002_MOUSE Protein C21orf2 homolog OS=Mus muscu	1536.7	1772	1653.1	1314.9	1330.5	1026.8	1076.3	1727	766.98	1179
sp|Q91X84|CRTC3_MOUSE CREB-regulated transcription coactivator 3 OS=Mus musculus GN=Crtc3 PE=1 SV=2	1171.7	819.49	1019.7	1220.2	1544.7	832.9	1033	942.4	1355.1	503.82
sp|Q6IQX7-3|CHSS2_MOUSE Isoform 3 of Chondroitin sulfate synthase 2 OS=Mus musculus GN=Chpf;sp|Q6IQX7|CHSS2_MOUSE Chondroitin sulfate synthase 2 OS=Mus musculus GN=Chpf PE=1 SV=1	1027.9	994.84	424.08	1070.6	1164.9	1267.9	405.88	1409	1197.8	1497.9
tr|Q8K2C4|Q8K2C4_MOUSE Pwp2 protein (Fragment) OS=Mus musculus GN=Pwp2 PE=2 SV=1;tr|A1A596|A1A596_MOUSE Pwp2 protein OS=Mus musculus GN=Pwp2 PE=2 SV=1;tr|Q8R538|Q8R538_MOUSE WD-repeat protein p103 OS=Mus musculus GN=Pwp2 PE=2 SV=1;tr|Q2M1K2|Q2M1K2_MOUSE MC	1003	941.91	1369.5	1254.7	921.62	1149.4	690.36	1074.5	991.59	1052.7
tr|A3KMN0|A3KMN0_MOUSE Zbtb16 protein (Fragment) OS=Mus musculus GN=Zbtb16 PE=2 SV=1;tr|Q3UQ17|Q3UQ17_MOUSE MCG3834 OS=Mus musculus GN=Zbtb16 PE=1 SV=1	2701.1	1143	1153.8	1148.1	1098.1	939.53	788.98	1189.9	974.25	408.07
tr|Q5SUE3|Q5SUE3_MOUSE Coiled-coil domain-containing 92B OS=Mus musculus GN=Ccdc92b PE=1 SV=1;tr|B9EKG1|B9EKG1_MOUSE RIKEN cDNA E130309D14 OS=Mus musculus GN=Ccdc92b PE=2 SV=1;tr|Q3UPT7|Q3UPT7_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ccdc9	1671.9	1298.9	1085.8	674.73	1054.8	1433.7	754.8	1454.2	1053.9	817.82
tr|B7ZC24|B7ZC24_MOUSE Nuclear receptor coactivator 5 OS=Mus musculus GN=Ncoa5 PE=1 SV=1	729.28	912.54	812.36	1059	1010.5	958.38	605.18	931.98	622.61	431.83
sp|Q8R2M2|TDIF2_MOUSE Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Mus musculus GN=Dnttip2 PE=1 SV=1	829.26	1144.8	909.03	830.15	1320.3	869.35	653.11	852.03	715.46	1435.9
tr|B2RX77|B2RX77_MOUSE MCG14870 OS=Mus musculus GN=Polr3c PE=2 SV=1;sp|Q9D483|RPC3_MOUSE DNA-directed RNA polymerase III subunit RPC3 OS=Mus musculus GN=Polr3c PE=1 SV=1	1033.7	772.78	1159.3	757.09	1015.5	892.11	876.65	1147.1	360.31	623.44
tr|Q3TYJ3|Q3TYJ3_MOUSE Cytoplasmic dynein 1 intermediate chain 1 OS=Mus musculus GN=Dync1i1 PE=1 SV=1;tr|D6Q0F4|D6Q0F4_MOUSE Cytoplasmic dynein intermediate chain 1 isoform 1.6 OS=Mus musculus GN=Dync1i1 PE=2 SV=1	0	1157.6	812.8	741.89	886.38	954.7	596.77	706.22	572.62	527.11
sp|O35445|RNF5_MOUSE E3 ubiquitin-protein ligase RNF5 OS=Mus musculus GN=Rnf5 PE=1 SV=1	888.13	985.42	735.3	1297.7	1029.8	0	1110.9	745.26	746.88	0
"tr|D6RDC6|D6RDC6_MOUSE tRNA modification GTPase GTPBP3, mitochondrial OS=Mus musculus GN=Gtpbp3 PE=1 SV=1;tr|B2RRS4|B2RRS4_MOUSE GTP binding protein 3 OS=Mus musculus GN=Gtpbp3 PE=2 SV=1;tr|E9PWV7|E9PWV7_MOUSE tRNA modification GTPase GTPBP3, mitochondrial"	509.12	916.13	772.52	649.45	993.16	412.88	458.69	739.85	794.87	0
"tr|G3X983|G3X983_MOUSE T cell activation inhibitor, mitochondrial OS=Mus musculus GN=Tcaim PE=1 SV=1;sp|Q66JZ4|TCAIM_MOUSE T-cell activation inhibitor, mitochondrial OS=Mus musculus GN=TCAIM PE=1 SV=1"	818.33	964.61	914.76	521.75	808.98	686.52	622.34	791.56	875.4	548.03
tr|B7ZWM7|B7ZWM7_MOUSE Ankrd11 protein OS=Mus musculus GN=Ankrd11 PE=2 SV=1;sp|E9Q4F7|ANR11_MOUSE Ankyrin repeat domain-containing protein 11 OS=Mus musculus GN=Ankrd11 PE=1 SV=1;tr|E9Q4F8|E9Q4F8_MOUSE Ankyrin repeat domain-containing protein 11 OS=Mus mus	413.06	351.88	292.14	559.55	303.61	378.41	360.87	453.27	525.63	366.92
tr|B2RY68|B2RY68_MOUSE BAI1-associated protein 3 OS=Mus musculus GN=Baiap3 PE=2 SV=1	0	0	0	0	0	0	0	0	0	0
sp|P22005|PENK_MOUSE Proenkephalin-A OS=Mus musculus GN=Penk PE=1 SV=2;tr|B1AZQ0|B1AZQ0_MOUSE Proenkephalin-A (Fragment) OS=Mus musculus GN=Penk PE=1 SV=1	0	0	0	0	0	0	0	0	0	0
